experiment_id,game_id,seed,player_a,player_b,player_a_params,player_b_params,white_player,black_player,winner,winner_color,num_plies,avg_time_white,avg_time_black,move_limit
E09,0,0,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,57,4.961826,0.368286,150
E09,1,1,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,56,0.571175,4.438571,150
E09,2,2,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,67,5.278650,0.670939,150
E09,3,3,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,81,0.591884,4.377406,150
E09,4,4,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,3.290854,2.033701,150
E09,5,5,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,67,0.852428,5.255834,150
E09,6,6,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,3.838581,1.244457,150
E09,7,7,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,51,0.818628,6.124309,150
E09,8,8,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,62,5.137385,0.601683,150
E09,9,9,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,1.382300,3.090103,150
E09,10,10,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,66,5.681361,0.507674,150
E09,11,11,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,57,1.135092,6.690473,150
E09,12,12,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,90,4.647579,1.011312,150
E09,13,13,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,127,2.584398,4.193369,150
E09,14,14,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,60,4.845508,0.379745,150
E09,15,15,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,65,1.310024,5.606510,150
E09,16,16,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,4.191578,2.308137,150
E09,17,17,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,2.652099,3.521464,150
E09,18,18,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,66,5.573692,0.472834,150
E09,19,19,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,75,0.838252,4.380982,150
E09,20,0,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,57,5.740943,0.411474,150
E09,21,1,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,56,0.799640,6.205038,150
E09,22,2,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,67,4.681780,0.601343,150
E09,23,3,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,81,0.628514,4.806379,150
E09,24,4,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,3.123583,2.463287,150
E09,25,5,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,67,0.857948,5.263495,150
E09,26,6,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,3.470566,1.141264,150
E09,27,7,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,51,0.836589,6.770625,150
E09,28,8,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,62,4.801328,0.577821,150
E09,29,9,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,1.516809,3.025168,150
E09,30,10,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,66,5.528717,0.506123,150
E09,31,11,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,57,0.933834,5.685731,150
E09,32,12,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,90,5.109387,1.110939,150
E09,33,13,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,127,2.509341,3.810877,150
E09,34,14,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,60,6.319637,0.489444,150
E09,35,15,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,65,1.020030,4.459915,150
E09,36,16,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,3.722278,1.804200,150
E09,37,17,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,1.816977,3.565470,150
E09,38,18,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,66,6.043762,0.562507,150
E09,39,19,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,75,1.035323,5.516174,150
E09,40,0,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,57,6.755939,0.487398,150
E09,41,1,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,56,0.831835,5.589085,150
E09,42,2,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,67,5.252002,0.731720,150
E09,43,3,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,81,0.671622,4.978376,150
E09,44,4,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,2.730128,1.212985,150
E09,45,5,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,67,0.762806,4.698214,150
E09,46,6,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,2.709339,0.639140,150
E09,47,7,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,51,0.636600,5.300279,150
E09,48,8,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,b,-1,62,4.521414,0.529072,150
E09,49,9,uct,alphabeta,"{'iterations': 1000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,0.819305,2.245966,150
