experiment_id,game_id,seed,player_a,player_b,player_a_params,player_b_params,white_player,black_player,winner,winner_color,num_plies,avg_time_white,avg_time_black,move_limit
E17,0,0,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},uct_minimax,alphabeta,a,1,69,4.386218,0.392226,100
E17,1,1,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},alphabeta,uct_minimax,draw,draw,100,1.344427,6.980617,100
E17,2,2,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},uct_minimax,alphabeta,b,-1,70,5.558968,0.932066,100
E17,3,3,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},alphabeta,uct_minimax,b,1,67,1.252219,7.069768,100
E17,4,4,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},uct_minimax,alphabeta,draw,draw,100,5.748815,0.662386,100
E17,5,5,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},alphabeta,uct_minimax,b,1,59,0.737296,4.773618,100
E17,6,6,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},uct_minimax,alphabeta,b,-1,68,5.176172,0.665989,100
E17,7,7,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},alphabeta,uct_minimax,b,1,57,0.755567,4.616465,100
E17,8,8,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},uct_minimax,alphabeta,b,-1,74,6.514053,1.027751,100
E17,9,9,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},alphabeta,uct_minimax,draw,draw,100,1.421244,8.165593,100
E17,10,10,uct_minimax,alphabeta,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}",{'max_depth': 6},uct_minimax,alphabeta,draw,draw,100,7.840722,1.655239,100
