experiment_id,game_id,seed,player_a,player_b,player_a_params,player_b_params,white_player,black_player,winner,winner_color,num_plies,avg_time_white,avg_time_black,move_limit
E12,0,0,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,7.509223,3.631014,150
E12,1,1,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,a,-1,56,4.696497,3.845274,150
E12,2,2,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,8.332210,4.242305,150
E12,3,3,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,b,1,55,5.814844,5.391488,150
E12,4,4,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,9.029678,4.318138,150
E12,5,5,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,a,-1,56,5.604015,4.879590,150
E12,6,6,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,8.545806,4.109493,150
E12,7,7,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,a,-1,70,5.518542,4.661908,150
E12,8,8,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,b,-1,64,4.860683,5.768126,150
E12,9,9,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,a,-1,78,6.342961,5.023744,150
E12,10,10,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,b,-1,52,4.592186,5.948336,150
E12,11,11,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,a,-1,48,6.985187,4.788473,150
E12,12,12,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,a,1,71,3.971830,4.539674,150
E12,13,13,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,a,-1,94,5.093069,6.413838,150
E12,14,14,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,b,-1,148,8.487794,4.298321,150
E12,15,15,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,a,-1,106,4.087469,5.661104,150
E12,16,16,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,b,-1,48,5.325890,6.426053,150
E12,17,17,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,b,1,63,5.825820,4.743975,150
E12,18,18,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,b,-1,68,4.890094,6.154456,150
E12,19,19,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,b,1,65,5.668194,4.150494,150
E12,20,0,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,8.369951,4.249366,150
E12,21,1,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct,uct_minimax,a,-1,56,6.468136,5.279407,150
E12,22,2,uct_minimax,uct,"{'iterations': 1000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 1000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,8.440049,4.243803,150
