experiment_id,game_id,seed,player_a,player_b,player_a_params,player_b_params,white_player,black_player,winner,winner_color,num_plies,avg_time_white,avg_time_black,move_limit
E13,0,0,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,43.016369,17.870687,150
E13,1,1,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct,uct_minimax,b,1,55,27.828167,24.761756,150
E13,2,2,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct_minimax,uct,a,1,71,31.056140,30.857050,150
E13,3,3,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct,uct_minimax,b,1,67,26.379078,23.715215,150
E13,4,4,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct_minimax,uct,b,-1,50,24.054713,27.961653,150
E13,5,5,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct,uct_minimax,b,1,55,26.776549,21.955671,150
E13,6,6,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,35.242913,19.384136,150
E13,7,7,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct,uct_minimax,draw,draw,150,19.110070,34.673566,150
E13,8,8,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct_minimax,uct,draw,draw,150,46.445337,17.068978,150
E13,9,9,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct,uct_minimax,draw,draw,150,23.467302,34.848259,150
E13,10,10,uct_minimax,uct,"{'iterations': 5000, 'c': 1.4, 'minimax_depth': 2}","{'iterations': 5000, 'c': 1.4}",uct_minimax,uct,a,1,63,25.140033,29.210682,150
