experiment_id,game_id,seed,player_a,player_b,player_a_params,player_b_params,white_player,black_player,winner,winner_color,num_plies,avg_time_white,avg_time_black,move_limit
E11,0,0,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,59,64.057584,0.417366,150
E11,1,1,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,1.201912,35.196418,150
E11,2,2,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,61,56.395069,0.527495,150
E11,3,3,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,62,0.695404,54.517576,150
E11,4,4,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,59,58.063853,0.538219,150
E11,5,5,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,1.384362,38.468233,150
E11,6,6,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,53,49.420669,0.469924,150
E11,7,7,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,66,0.767013,58.081222,150
E11,8,8,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,53,57.117480,0.465304,150
E11,9,9,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,60,0.646031,57.619685,150
E11,10,10,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,42.630649,1.058719,150
E11,11,11,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,53,0.664726,57.743272,150
E11,12,12,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,57,60.694092,0.355427,150
E11,13,13,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,2.999310,47.357342,150
E11,14,14,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,51,58.337135,0.378680,150
E11,15,15,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,54,0.644701,53.607433,150
E11,16,16,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,61,54.689270,0.312625,150
E11,17,17,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,54,1.118332,49.542414,150
E11,18,18,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,47,53.757154,0.293980,150
E11,19,19,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,54,0.801815,52.383477,150
E11,20,0,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,59,56.624664,0.361162,150
E11,21,1,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,1.128207,32.683651,150
E11,22,2,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,61,52.275990,0.488564,150
E11,23,3,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,62,0.689589,54.372925,150
E11,24,4,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,59,56.941605,0.443718,150
E11,25,5,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,draw,draw,150,1.473999,35.795934,150
E11,26,6,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,53,44.745387,0.449854,150
E11,27,7,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,66,0.639199,49.011414,150
E11,28,8,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,53,50.766464,0.383110,150
E11,29,9,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,a,-1,60,0.504696,50.024306,150
E11,30,10,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,draw,draw,150,34.754056,0.753195,150
E11,31,11,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},alphabeta,uct,b,1,53,0.636953,54.490589,150
E11,32,12,uct,alphabeta,"{'iterations': 10000, 'c': 1.4}",{'max_depth': 6},uct,alphabeta,a,1,57,55.324193,0.336439,150
