experiment_id,game_id,seed,player_a,player_b,player_a_params,player_b_params,white_player,black_player,winner,winner_color,num_plies,avg_time_white,avg_time_black,move_limit
E03,0,0,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,62,0.551277,0.651685,150
E03,1,1,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,59,1.340213,0.904667,150
E03,2,2,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,56,0.790706,1.576844,150
E03,3,3,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,49,0.834599,0.595669,150
E03,4,4,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,44,0.598415,0.854177,150
E03,5,5,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,57,2.390858,0.643443,150
E03,6,6,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,46,0.877763,0.832370,150
E03,7,7,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,57,1.386073,0.535386,150
E03,8,8,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,52,0.624336,0.604981,150
E03,9,9,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,55,1.000882,0.607928,150
E03,10,10,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,68,0.701988,0.452724,150
E03,11,11,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,61,1.151072,0.792054,150
E03,12,12,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,68,0.722583,0.649775,150
E03,13,13,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,87,1.353748,0.626863,150
E03,14,14,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,62,0.976222,0.915487,150
E03,15,15,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,61,1.309046,0.764453,150
E03,16,16,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,58,0.573069,0.307374,150
E03,17,17,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,63,0.726361,0.604694,150
E03,18,18,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,50,0.801356,1.029463,150
E03,19,19,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,draw,draw,150,1.324321,0.376256,150
E03,20,0,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,62,0.542971,0.640071,150
E03,21,1,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,59,1.250245,0.823515,150
E03,22,2,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,56,0.881732,1.723659,150
E03,23,3,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,49,0.809036,0.583887,150
E03,24,4,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,44,0.836973,1.217520,150
E03,25,5,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,57,1.833863,0.545683,150
E03,26,6,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,46,0.744553,0.679857,150
E03,27,7,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,57,1.649638,0.647949,150
E03,28,8,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,52,0.612337,0.607397,150
E03,29,9,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,55,0.932958,0.561588,150
E03,30,10,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,68,0.760455,0.501878,150
E03,31,11,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,61,0.877130,0.637484,150
E03,32,12,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,68,0.457419,0.403005,150
E03,33,13,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,87,1.229575,0.628092,150
E03,34,14,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,62,0.567298,0.542130,150
E03,35,15,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,61,0.978724,0.535044,150
E03,36,16,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,58,0.717984,0.396324,150
E03,37,17,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,63,0.661532,0.548776,150
E03,38,18,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,50,0.770960,0.918972,150
E03,39,19,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,draw,draw,150,0.885203,0.306411,150
E03,40,0,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,62,0.585831,0.680907,150
E03,41,1,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,59,0.864668,0.541758,150
E03,42,2,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,56,0.555397,1.091733,150
E03,43,3,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,49,0.967505,0.651321,150
E03,44,4,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,44,0.571229,0.830684,150
E03,45,5,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,57,1.535033,0.531362,150
E03,46,6,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,46,0.547488,0.536931,150
E03,47,7,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,57,1.190150,0.514467,150
E03,48,8,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},uct,alphabeta,b,-1,52,0.610236,0.541436,150
E03,49,9,uct,alphabeta,"{'iterations': 100, 'c': 0.7}",{'max_depth': 6},alphabeta,uct,b,1,55,0.838441,0.519811,150
